title,description
Evga Geforce GTX 980 TI Classified Edition x2,"Asking for $200 for each card ($400 total) OBO. Comes with SLI bridge. Fully functional cards, decided to replace these with new GPU in build. Can deliver to / meet in Rochester area (east/south of city). Specs per card. 6GB GDDR5 3x DP, 1x HDMI, 1x DVI-I SLI support. Dual 8pin power (16pin) Dual PICe 3.0 slot width. 5.4in tall, 11in long. Full specs (https://www.evga.com/products/Specs/GPU.aspx?pn=a66a54fd-9741-4fab-af24-22bc317106f0). Evga’s classified lineup is their top of the line version. This card has a much larger heat sink with dual fans instead of single, and factory configured overclocking. Note this is the Classified TI version which is different from the non-classified or non-TI versions. Product review (https://www.overclockers.com/evga-gtx-980-ti-classified-graphics-card-review/)"
"Rosewill Server Raid Hard Drive Cage 5x 3.5""","Brand new Rosewill server hard drive carriers/cages/chassis/sleds/slots/bays/fans/adapters, black, with built in 120mm fans. These convert 4x 5.25"" bays into 5x 3.5"" drive bays with active cooling. Drive mount stakes are toolless. 45$ for all 3. Pickup only in Penfield near wegmans. If the ad is up, they are available. Price firm, these are brand new pulls. These are 25$ each new without fans, on amazon. https://www.amazon.com/rwu0-Drive-Supplies-Stainless-Computer/dp/B0854QRSC2"
300Mbps USB WiFi Adapter,"300Mbps USB WiFi Adapter, Wireless LAN Network Card Adapter Stick USB 2.0 Dongle for Desktop Laptop PC Windows 10 8 7 XP MAC OS (Plug-and-Play for Windows10)"
Netgear AC1900 C7000v2 Cable Modem Router,Combo cable router modem I have sitting around. Can setup WiFi etc it works great! I’m moving and no longer need this feel free to make offers.
Router,"As pictured, restored to factory settings"
Computer charging cart with lock,"Nice condition computer cart on wheels with surge protector, dividers, and lock. Fits 30 laptops, custom built. Two available, $400 each or $700 for both. 30Wx24Dx42H"
"Fellowes 50 3.5"" Tray Holder Old Maplinx Software 30ish Unused HD Disk",Fellowes 50 3.5 diskette tray (no key) along with old Windows Maplinx software and what looks to be about 30 HD 3.5 diskettes. There was a note if front of most of them that read unused. My apologies to whoever wanted this and I couldn't find them. My daughter cleaned out a closet I had them in and she must have put them in the basement and I just found them) Good Shape for all. $15 for all. I'm in West Irondequoit. Call or text show contact info or use Craigslist mail.
Tablet Case,Tablet Case Holds a 7 1/2 x 5 inch tablet
ATI Fire GL4 4x AGP Pro Video Card - Dual DVI,"ATI Fire GL4 4x AGP Pro Video Card - Dual DVI and stereo video glasses port Specifications: (PC Pict CL) Bus type: AGP Pro 2X/4X v2.0 Compliant w/ Side Banding Memory: 128 Mb DDR SGRAM, Unified Framebuffer 3D performance: 29 million Triangles/second, G-Shaded, Z-buffered, non-Textured 33 Million Anti-Aliased Vectors/second 512 Million Pixels/second fill rate, G-Shaded, Z-buffered, non-Textured 250 Million Pixels/second Trilinear Texture fill rate (Mip-mapped) Connectors: Two DVI-I Digital Monitor Output StereoGraphics Connectors RAMDAC: 300 MHz / 30-bit Palette DAC Form factor: Single, Full Length AGP/Pro50 Card Length AGP compatible: Full AGP 2X/AGP 4X support (up to 1GB/s bandwidth) VESA: VBE 2.0 (super VGA modes) DPMS energy saving DDC-2b support for plug and play detection of monitor 28130070-004 ATI 128Mb AGP Fire GL4 Video Adapter General Interface Type AGP 4x Max Monitors Supported 2 Interfaces 2 - 24+5 pin combined DVI - female 1 - 3 pin mini-DIN - female Graphics Engine IBM RC1000 2D/3D Graphics Coprocessor / Vendor IBM GT1000 Bus Type API Supported OpenGL, DirectX, Direct3D RAMDAC 300 MHz Manufacturer ATI Technologies Inc. Memory Size 128 MB / 128 MB (max) Technology DDR SGRAM Power Device Type none Interface Provided Gender female Connector Qty 1, 2 Type display / video Interface DVI-Analog/Digital, stereo video sync-out Qty 1, 2 Connector Type 24+5 pin combined DVI, 3 pin mini-DIN Video Video Output multi-monitor graphics card Graphics Processor IBM RC1000 Colors Max Resolution (external) 32-bit color Type none Video Output Colors Max Resolution (external) 32-bit color Fill Rate (pixels) 512 million pixels/sec Fill Rate (triangles) 29 million triangles/sec Fill Rate (texels) 250 million texels/sec Type graphics card Interface Type AGP 4x Graphics Processor Manufacturer other Graphics Processor IBM RC1000 RAMDAC Clock Speed 300 Hz Max Monitors Supported 2 Max External Resolution 1920 x 1200 V-Sync Rate at Max Res. (external) 75 Hz API Supported Direct3D, DirectX, OpenGL Analog Video Format none Supported Video Signal DVI Analog Video Signal none Digital Video Standard Digital Visual Interface (DVI) System Requirements OS Required Linux, Microsoft Windows 2000 / NT4.0 Header Brand ATI Product Line ATI FIRE Model GL4 Packaged Quantity 1 Compatibility PC Interface Required Type none Video Memory Technology DDR SGRAM Installed Size 128 MB Software Type Drivers & Utilities Slot Required Type AGP Total Qty 1 General Manufacturer ATI Technologies Inc. ***Please leave contact Number so I May Call You*** ***Click the ""more ads by this user"" button***Listed till sold***"
Texas Instrument Ti-99 4a Computer 9-Cartridges,"Texas Instrument Ti-99 4a Computer 9-Cartridges For Sale used fully functioning Texas instruments solid state Educational cartridge. 1982 Release Date Label and case cover are in very good condition. Early Reading Reading Roundup Number Magic Addition & Subtraction 1 Addition & Subtraction 2 Numeration 1 Early Learning Fun Beginning Grammar FaceMaker PC-DL-TI ***Please leave contact Number so I May Call You*** ***Click the ""more ads by this user"" button***Listed till sold***"
NUMBER MAGIC Texas Instruments Solid State Cartridge,"NUMBER MAGIC Texas Instruments Solid State Cartridge No Manual PHM 3004 1982 Texas Instruments TI-99 4A computer cartridge only Number Magic game for the Texas Instruments gaming system Cartridge is in excellent condition with slight wear Texas Instruments TI-99 4A computer cartridge, Number Magic, cartridge only, no box or manual. Please see picture(s) and ask questions before purchasing. \Documents\Craigslist\New ***Please leave contact Number so I May Call You*** ***Click the ""more ads by this user"" button***Listed till sold***"
Atari Computer Cartridge Basic,"ATARI BASIC COMPUTER PROGRAM ATARI CXL4002 Atari Computer Cartridge Use with Console Keyboard Atari 400/800/XL/XE, 1981 © 1983 Atari Computer Systems Inc., All Rights Reserved This product is developed and Manufactured for Atari Inc. Basic Computing Language (Atari 400/800/XL/XE, 1981) ☆ AUTHENTIC ☆ 1983 Programming - Language Machine Language Genre Programming - LanguageYear1983 Language Machine Language Publisher Atari (USA) Controls Keyboard ***Please leave contact Number so I May Call You*** ***Click the ""more ads by this user"" button***Listed till sold***"
Atari Computer Cartridge LOGO,"ATARI LOGO COMPUTER PROGRAM ATARI RX8032 Atari Computer Cartridge Use with Console Keyboard Atari 400/800/XL/XE, 1981 © 1983 Logo Computer Systems Inc., All Rights Reserved This product is developed and Manufactured for Atari Inc. by Logo Computer Systems Inc., Montreal Basic Computing Language (Atari 400/800/XL/XE, 1981) ☆ AUTHENTIC ☆ 1983 Programming - Language Machine Language Genre Programming - LanguageYear1983 Language Machine Language Publisher Atari (USA) Controls Keyboard Developer Logo Computer Systems, Inc. Players-Country Programmer(s) Silverman, Brian License Commercial Graphic Artist(s) (PC-P-2020-10) ***Please leave contact Number so I May Call You*** ***Click the ""more ads by this user"" button***Listed till sold***"
Wireless WiFi Repeaters,"Up for sale 2 Wireless WiFi Repeaters. The both are brand new still in box, never used. Great for adding more range up to 300 mbps for every WLAN network. See more info on boxes in photos. Only asking $5.00 each or B/O. Please email if interested. Thank you."
Tablet Case,"Tablet Case Holds 5 1/2"" x 8"" Tablet"
Leather Expandable shoulder bag briefcase/lap top bag,Leather Expandable shoulder bag briefcase/lap top bag with zippered compartments
"Mac Book Pro Snap Case New 13""","13"" snap jacket new in pkg. USB C 360 protection and ultra-thin. Very lightweight. Form fitting beautiful gold. Faux leather. From a smoke and pet free home. Protect your laptop. Pay Pal accepted"
EVGA Supernova 750 G3 Power Supply,"EVGA Supernova 750W fully modular power supply in excellent condition, clean and in like new condition. No cables included, $50 o/b/o."
ASUS RT-AX3000 Wifi Router,ASUS RT-AX3000 Wifi Router
ASUS XT8 Tri-Band Routers (2 / Pair),ASUS XT8 Tri-Band Routers (2 / Pair)
"Modem, Ambit U10C018",Includes OEM AC adapter AD-101ADT. Please call show contact info . Will Ship. If it's posted its available.
Computer Cables (6): Laptop/Desktop/Monitor,"6' DB9 F/F Null Modem/Serial cables. (5) 10' CAT 6A/Class EA TX6 10 GIG shielded RJ45 to RJ45 Patch Cord. NEW, never used. Please call show contact info . Will Ship. If posted it's available."
"Computer Bags (5), Laptop, Black - Will Seperate","ICON nylon, 15 1/4"", - $10 Samsonite leather, 17"" - $10 Dell leather, 17"" - $10 Corporate, nylon, 17""- $10 Dell, leather, 17"" - $10 Will Ship. Please call show contact info If it's posted it's available."
"Keyboard and Mouse, PC, HP Multimedia",Model HP-5187. Wired connection. Has media player controls. Model HP-5188-2467 Mouse is hard wired. Please call show contact info . Will Ship. If its posted it's available.
Motorola SURFboard Cable Modem SB5101 DOCSIS 2 - Used,"WORKS GREAT! AC adapter is $5 extra, total $10 Pick up only please"
Belkin Universal Retractable Wired USB Ergonomic Computer Mouse Mice,Brand New in Box - Great Gift What you see in the pictures is what you get Pick up only please
New Computer 3 Prong Electric Cable $5 each or 3 for $10,New Computer tower 125V 10A AC COMPUTER PC CABLE ... 3 Prong power able $5 each or 3 for $10 Also have 10 pack bundle of used 3 prong cable $30 bucks
HP designjet T120 printer,HP designjet T120 printer
Non-OEM Epson printer cartidges,"Non-OEM Epson 69 Ink Cartridges 11-Pack - T069: 5 Black, 2 Cyan, 2 Magenta, 2 Yellow. Brand new in packaging"
Dell new EMPTY Hybrid drive tray part number pn 072cwn 72cwn,"Firm price. No texts. Selling new empty hot swap tray only - NO DRIVE INCLUDED! Photos with a drive are shown for reference only. A friend discovered a new in box drive with tray for a system he no longer had. Offered me the drive and tray. I have a use for the drive, selling the empty tray with all originally supplied mounting screws. New Hybrid drive Tray Caddy Bracket. Marked for 400gb SSD, you could change marking for your need. These are used on Dell based systems and apparently on EqualLogic brand and possibly others. Can be used for 3.5"" drives by unscrewing the supplied 2.5"" drive adapter. Drives can be SAS or SATA. Mounting screws supplied to hold 2.5"" drive Compatible: EqualLogic PS6100 PSM4100 PS4100E and various dell models May be interchangeable with system models (not verified): R710 R510 R420 R720 R730 R430 and possibly others. Meet in person preferred. Cash only. Shipping possible at your responsibility. Photos (without drives) are of actual item being offered."
IBM laptop power supply and cord P/N 08K8205,"IBM laptop power supply and cord P/N 08K8205 Brand new, Genuine Lenovo IBM 08K8205 AC/DC Power Supply Adapter 16V 4.5A 72W w/Cord See pictures, local pickup only. $20.00"
Mobility Electronics Premium Monitor Stand (Dark Gray) UN0940-10,"Mobility Electronics Premium Monitor Stand (Dark Gray) UN0940-10 Brand new See pictures. Local pickup only. There are 2 of them $15.00 each. Go's ergonomically designed monitor stand fits over your notebook computer or docking device to hold your monitor at a comfortable viewing height while reducing stress on your neck and back. The unique slide-out tray provides easy access to your notebook, ports and cables. Specifications: 12 x 12"" elevated surface area handles up to 21"" monitors Supports monitors, printers and other peripherals up to 165 lbs Dimensions: 14"" x 5.8"" x 15"" Weight: 5.3 lbs"
Evga RTX 3070 TI FTW3 Ultra w EK Waterblock,Purchased New from Evga used for gaming Evga RTX 3070 Ti 8gb FTW3 Ultra w Ek waterblock installed Currently has Black Backplate also comes with Brand new Stainless Backplate I could reinstall factory air cooler with new thermal pads and thermal paste if preferred $350 cash
"Dell Laptop Computer Bags, a few sizes Some New & Like New!","Dell Laptop Computer Bags, a few sizes Some are Brand New, Never Used and some are New (used for a very short time to deliver PC) call or text show contact info"
Computer Keyboard,Internet pro keyboard claiver internet pro
"Stereo computer system, pioneer","I have a pioneer stereo system for sale. have all the wires. has romote, Works great. Call Sam at show contact info home phone no answer call cell at show contact info when texting or emailing put in Bills as code"
NEW ZENITH 4 Pin-4 Pin 3 ft Digital IEEE 1394 FireWire iLink Cables,NEW ZENITH 4 Pin-4 Pin 3 ft Digital IEEE 1394 FireWire iLink Cables
Logitech X-620 6.1 Surround Sound Speaker System with Subwoofer,"'Increase your gaming intensity by upgrading to the 6.1 surround sound of Logitech's X-620 speaker system. It features six satellite speakers, including a center rear channel, plus a powerful pressure driver subwoofer. Are you looking for powerful bass? Crisp highs and mid-range? The X-620 delivers. Its patented subwoofer design provides twice the bass of conventional designs for smooth, powerful lows, and the satellite speakers provide rich mid-range and crisp high-end tones. Even if you don't have a 6.1 sound card, you can still enjoy the benefits of all seven speakers by using the source selector switch."" Manual Included Details Configuration 6.1 Total Power 70.1 Watts RMS Frequency Response 35Hz - 20,000Hz Signal to Noise Ratio(SNR) >75db @1 khz"
HP 90 Watt Laptop AC Adapter Charger,"contact using Craigslist email relay for more info and photos, is original HP. Has round connector to laptop. This is NOT usb-c. thanks"
"BROTHER Laser Toner Cartridge for HL, DCP & MFC Models NEW","Though the box has been opened, the Brother-compatible toner cartridge inside is brand new and in its original sealed bag. This high-capacity toner cartridge fits the following Brother laser printers: HL-5440D HL-5450D HL-5470DW/DWT HL-6180DW/DWT DCP-8110DN DCP-8150DN DCP-8155DN DCP-8510DN MFC-8710DW MFC-8810DW MFC-8910DW MFC-8950DW/DWT"
Cat 5 Cable,"Probably about 250-300 feet left on roll $ 15.00 (cash only) Phone calls are the best way to contact me... I will not respond to ""is it still available"" - once gone I'll remove the ad. When emailing with questions include a phone number or I will NOT respond to the e-mail."
Epson WT7900,Epson Printer Model WT7900 and miscellaneous ink Cartridges
Asus VG248QE 3D Monitor,"24” 1080p gaming monitor with DisplayPort, HDMI and DVI port connectivity."
GTX 1650 (CASH OR TRADE),"HP GTX 1650 4GB. Tested working great, for trade, looking for itx or matx motherboard cpu combos, graphics cards, and hard drives, among other pc components."
Linksys Mesh Router,"Here are two Linksys Velop Mesh Routers for sale. One gets hooked up to your ISP and the other connects to the first by blutooth. There is an ethernet port under the mesh one. You would need to download the app to set this up and maintain it. I intended this as an extender system to use with my main Linksys router, but it wouldn't play nice. I should have ditched the main one and gone with these. I just got an Eero router with my new Frontier setup, so I don't need these. You get the two routers, the plugs and ethernet cables."
IBM Clicky model M Keyboard priced at,"Have available 1 IBM clicky buckling spring model M Keyboard as follows: model M with separate numeric keypad dated 1989. First come first serve. No holds Working with no issues when I stopped using this and has been retested when this was was posted. No damage. All key caps present. Never any spills, from non smoking, pet free home. This will come with a rare long cable that is PS2 type (smaller round style, NOT the older 5 pin DIN). If your system does not have any PS2 connectors you will need an adapter, I have no adapters. This style keyboard has made a resurgence and is rather popular is certain applications, can be used for general purposes. This type of positive feedback that this key design provides reminds me of the feel of the IBM Selectric interchangeable ball style fonts typewriters of the early 80's and perhaps is what IBM designers were trying to emulate in how these clicky buckling spring keys were made. I have 1 longer length cable that is included with the keyboard. Cables: IBM used a less common connector on the keyboard end to be able to supply different cables based on length, connector at computer end, color, etc. Longer length cable has approx 6 and a half foot long straight section, a coiled section that at rest is also approx 2 foot long that will stretch to 3-4 feet depending on force, and another straight section that connects to the keyboard itself about 6 inches long. (For reference, no Shorter length available but here is a description so you can see understand the difference, Shorter length cable has approx 2 foot long straight section, and a coiled section that at rest is also approx 2 foot long that will stretch to 3-4 feet depending on force, and another straight section that connects to the keyboard itself about 6 inches long.) This post will be kept up to date and removed promptly when appropriate, it is available if you can see this. If you are thinking about this - suggest you do not sit on your hands - only one I have. I have no spare cables or spare keyboards or spare parts available. Cash only. Meet during daylight hours. Shipping possible, these are the terms: No electronic payments, no checks, no money orders, no IOU's, no ACH, no trades. Cash only!! The kind that comes out of an ATM. Keep payment type accepted in mind if you ask me to ship, you cover shipping costs. Shipping is easier for me if you provide a prepaid shipping label. USPS is closest, but UPS, or FedEx can be done."
Linksys switches and routers (4),"4 Linksys switches and routers, used, all working. with power supplies. see pics. Local pickup only. $15.00 Each"
Allen-Bradley and others resistors and components for electronics,"Allen-Bradley and others resistors and components for electronics. All new. Resistors, capacitors and various other components. See pictures. 3 bags of them. Local pickup only. $60.00"
Kodak Easyshare printer dock 6000,"Kodak Easyshare printer dock 6000, used, works, with paper and ribbons. See pictures. Local pickup only. $10.00"
Buying Gaming PCS / Laptops as well as lots of other computer parts!,"Email lists! Looking to buy in bulk but will also look at individual gaming pcs, newer macs, etc!"
"Dell 90W Laptop AC Adapter Charger, Genuine dell, have 2","contact using Craigslist email relay for more info and photos. Not usb-c connector, has round connector to laptop. thanks"
AMD Ryzen 7 9800x3D Gaming CPU,"AMD Ryzen 7 9800X 3D $450 No one beats our prices Please do not send offers, we will not take them. We have 8 in stock (with more coming) No shipping, local only Features: AMD Ryzen 7 9800x 3d 8 Core CPU This is the fastest gaming cpu on the market!!!! Price is for the cpu only Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $35 24"" 144hz - 165hz 1080p Displays only $125 27"" 144hz - 165HZ 1080p Displays only $150 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
Led Movie Projectors with HMDI inputs,"Led Movie Projectors with HDMI inputs $75 and UNDER! No one beats our prices Please do not send offers, we will not take them. Features: Projectors are 1080p and lower Led (no bulb to change) These are new projectors! Price is for the projector and whatever accessories come in the box. Wired Light Up Keyboard and Mice Start at $30 (new) Mechanical Keyboard and Mouse Sets $35 24"" 144hz - 165hz 1080p Displays only $125 27"" 144hz - 165HZ 1080p Displays only $150 Jeremiah's Computer Store and Repairs LLC 3898 Lake Ave Rochester NY 14612 Store Hours 12-4 7 Days a Week All units carry a 90 Day Warranty (see store for details) All Prices as listed plus tax"
9306-24i SAS SATA Broadcom LSI AVAGO 12gbps 12gb/s PCIe Adapter card,"No texts, use email relay. Price above is per card. Two cards available right now. Will sell separately or together. If you get both cards at same time, will discount a total of $20. What flavor of IT mode (jbod) are you into? ZFS, FreeNAS, unRAID, something else? This card connects to a lot of drives, actually 24! If you have a bunch of 22TB drives (bigger drives are available) you can approach 0.5 Petabyte of storage (500 TB). This card of course handles sata and sas drives, and can mix. If you are not familiar with IT mode, this card uses a PCIe slot on your mainboard and will pass through drives connected to it to your OS for use as you choose. Any sata or sas drive will work can be different sizes depending on your need / use. Great way to add more drives / space to a system. This card is has 3 connectors, each attaches to 8 drives, total 24 drives. All 3 connectors are internal and use SFF-8654 type connector (see photos of cable), cables are readily available with a variety of connectors at the other end to suit your preference. Has large heatsink, and likely designed for high air flow server case. To be safe install only with a fan blowing on this heatsink to keep it cool unless in high air flow case. Comes with low profile bracket with ventilation holes, bracket can be changed with a screwdriver. With 24 drives attached to this card plus what your motherboard has for sata connections to add to that you could have a pretty amazing amount of storage at you fingertips. What to do with it? Up to you. With 24 drives available you can hit some rather amazing transfer rates for spinning magnetic drive at a mere fraction of the cost of solid state. 0.5 Petabyte (that's 500 terabytes) of storage that is solid state - well can't bring myself to imagine the cost factors to get that! On most motherboards you run out of PCIe slots at some point and you need a bigger card. Space is the final frontier. Can usually meet same day. Daylight hours only please. Cash only!! The kind that comes out of an ATM. No electronic payments, no trades, no checks, no ACH, no money orders, no IOU's. Keep payment type accepted in mind if you ask me to ship, you cover shipping costs, USPS preferred, then Fed-Ex or UPS. You supply a prepaid shipping label preferred."
Memory: 48gb (6x8gb) DDR4 Hynix HMA81GR7CJR8N,"Six sticks of 8 gb DDR4 memory, totaling 48 gb. 100 for the whole set. This was used in a 2019 Mac Pro."
Simpletech 40GB IDE 2.5 inch HDD for laptop,"Simpletech 40GB IDE 2.5 inch HDD for laptop, Brand new in package. See picture. Local pickup only.$10.00"
Simpletech 60GB IDE 2.5 inch HDD for laptop,"Simpletech 60GB IDE 2.5 inch HDD for laptop, Brand new in package. See picture. Local pickup only.$10.00"
Toshiba 40GB IDE 2.5 inch HDD for laptop,"Toshiba 40GB IDE 2.5 inch HDD for laptop, Brand new in package. See picture. Local pickup only. $5.00"
Travelstar 80GB IDE 2.5 inch HDD for laptop,"Travelstar 80GB IDE 2.5 inch HDD for laptop, Brand new in package. See picture. Local pickup only.$15.00"
"Lenovo 45 WATT AC-Adapter ONLY, usb c usb-c","Price firm. No texts. Use email on C/L. Most likely can meet same day. I no longer have a way to test this as I no longer have the Lenovo pruduct I used it with. Info from the AC-Adapter: Lenovo pn: SA10E75843 FRU pn: 00HM665 Specifications: Max 45W Input: 100V - 240V~ 1.3A 50-60Hz Output: 20 V - 2.25A / 15 V - 3A / 9 V - 2A / 5 V - 2A 45 watt model - Great to have a spare or extra one for home/office/vehicle. With AC wall cord, cable with usb-c connector on the end and velcro strap. AC cord is 4.75 feet long and DC cord is also 5.5 feet long. Meet in person. Cash only. No shipping. Photos are of actual item being offered."
"2 Ablenet Buddy Button switches 2.5""","2 Ablenet Buddy Button 2.5 inches switches both $10 FIRM Select ""more ads by this user"" to see other items Dave email, call or text me 5eight5-613-8770. ***Will delete ad when sold****"
